predicado,usos,qué relación afirma,simétrico,ejemplo de fila
no_equivale_a*,53,,,C-085
tiene_estado*,48,,,C-067
compatible_con*,36,,,C-346
no_demuestra*,24,,,C-298
contiene*,22,,,C-443
se_distingue_de*,21,,,C-437
depende_de*,20,,,C-209
no_implica*,20,,,C-185
no_resuelve*,20,,,C-060
tiene_soporte*,18,,,C-524
tiene_uso_legitimo*,18,,,C-1781
compatibilidad_parcial*,16,,,C-358
tiene_estado_de_conocimiento*,12,,,C-210
no_posee_rasgo*,10,,,C-1004
posee_funcion*,8,,,C-1370
sustituido_por*,8,,,C-1786
consigna_como_grupo_hermano*,7,,,C-520
reduce*,7,,,C-999
responde_a*,7,,,C-875
no_localiza*,6,,,C-170
no_registra_asignacion_fosil*,6,,,C-1947
regula*,6,,,C-858
responde_pregunta*,6,,,C-1901
tiene_orden_relativo*,6,,,C-273
posee_limitacion*,5,,,C-202
puede_inducir_error*,5,,,C-1836
se_forma_por*,5,,,C-1482
tiene_identidad*,5,,,C-311
tiene_posicion*,5,,,C-044
definido_como*,4,,,C-007
es_ancestro_comun_de*,4,,,C-179
habita_en*,4,,,C-830
intercambia_metabolito_con*,4,,,C-995
posee_estado*,4,,,C-1230
posee_metodo*,4,,,C-759
posee_modo_de_fallo*,4,,,C-1197
posee_vector_de_diseño_experimental*,4,,,C-1671
precede_a*,4,,,C-250
requiere*,4,,,C-1736
tiene_circunscripcion_variable*,4,,,C-1364
tiene_estimacion_de_consenso*,4,,,C-772
usa_metodo*,4,,,C-026
aparece_en*,3,,,C-177
carece_de_presupuesto_publicado*,3,,,C-1495
depende_de_denominador*,3,,,C-074
incluye*,3,,,C-013
induce_rasgo*,3,,,C-1448
no_observa*,3,,,C-101
pierde_valor_probatorio*,3,,,C-743
posee_costo*,3,,,C-1410
predice*,3,,,C-345
presenta*,3,,,C-529
requiere_ambiente*,3,,,C-278
se_calcula_como*,3,,,C-1224
tiene_fecha_publicacion*,3,,,C-1695
tiene_metodo*,3,,,C-682
tiene_peso_actual*,3,,,C-467
asociacion_sintrofica_con*,2,,,C-092
carece_de_ensayo_social*,2,,,C-1615
carece_de_recuento_uniforme*,2,,,C-1656
condiciona*,2,,,C-435
correlaciona_con*,2,,,C-1274
cuestiona_conjunto*,2,,,C-042
cultivable_como*,2,,,C-833
depende_de_modelo*,2,,,C-027
homologo_de*,2,,,C-294
induce*,2,,,C-855
infiere*,2,,,C-753
limita_disponibilidad_de*,2,,,C-815
no_demostrado_en*,2,,,C-141
no_es*,2,,,C-1731
no_posee_observacion*,2,,,C-1379
no_regula*,2,,,C-1609
no_requiere*,2,,,C-829
no_respaldado_por*,2,,,C-1769
no_satisface_criterio*,2,,,C-1650
parasita_a*,2,,,C-936
posee_componentes*,2,,,C-1316
posee_condicion_experimental*,2,,,C-1668
posee_diferencia*,2,,,C-1218
posee_excepciones*,2,,,C-057
posee_función_propuesta*,2,,,C-1308
posee_habitat*,2,,,C-119
posee_proceso*,2,,,C-1435
posee_respuesta*,2,,,C-845
posee_supuestos*,2,,,C-1408
posee_topologia*,2,,,C-018
propone_orden*,2,,,C-261
reciben_tratamiento_documental*,2,,,C-015
recupera*,2,,,C-522
tiene_numero_de_origenes*,2,,,C-1659
tiene_rango_estimado*,2,,,C-1941
tiene_resumen_de_medianas*,2,,,C-790
transfiere_metabolito_a*,2,,,C-277
usa_como_recurso*,2,,,C-685
usa_denominador*,2,,,C-1309
aislada_en_asociacion_con*,1,,,C-832
altera*,1,,,C-144
analogía_de*,1,,,C-893
aplica_marco*,1,,,C-687
aporta_limite*,1,,,C-777
asociacion_con*,1,,,C-109
