"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-757","Douzery y colaboradores estimaron que las principales divergencias eucariotas consideradas en su estudio ocurrieron entre 950 y 1259 Ma.","diversificación eucariota en Douzery et al. 2004","tiene_edad_estimada","950–1259 Ma","expresa","S142 resumen","no evaluado","baja","Intervalo posterior derivado de un reloj relajado con muestreo y calibraciones hoy limitados.","parcialmente resuelta","vigente"
"C-758","Douzery y colaboradores estimaron la divergencia entre animales y coanoflagelados entre 761 y 957 Ma.","nodo Choanoflagellata–Metazoa","tiene_edad_estimada","761–957 Ma","expresa","S142 resumen; tabla 1","no evaluado","baja","Estimación de reloj relajado condicionada por seis calibraciones fósiles y el árbol empleado.","parcialmente resuelta","vigente"
"C-759","El análisis de Douzery y colaboradores utilizó un reloj molecular relajado bayesiano y seis referencias fósiles.","análisis de Douzery et al. 2004","posee_metodo*","reloj relajado bayesiano con seis calibraciones","expresa","S142 métodos","no evaluado","alta","El método y las calibraciones están declarados por los autores.","resuelta","vigente"
"C-760","Parfrey y colaboradores estimaron la edad de LECA entre 1679 y 1866 Ma.","LECA","tiene_edad_estimada","1679–1866 Ma","expresa","S139 resumen; resultados","no evaluado","baja","El intervalo combina genes y calibraciones fósiles, pero depende de asignaciones taxonómicas y priors.","parcialmente resuelta","vigente"
"C-761","Parfrey y colaboradores ampliaron el muestreo de eucariotas microbianos respecto de estudios anteriores.","análisis de Parfrey et al. 2011","posee_rasgo","muestreo ampliado de eucariotas microbianos","expresa","S139 métodos","no evaluado","alta","La matriz taxonómica está documentada y responde a un sesgo reconocido de trabajos previos. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","resuelta","vigente"
"C-762","Eme y colaboradores obtuvieron estimaciones de LECA que abarcaron 1007–1898 Ma entre sus análisis.","LECA","tiene_edad_estimada","1007–1898 Ma","expresa","S141 §Molecular clocks; fig. 3","no evaluado","baja","El intervalo total refleja variación entre configuraciones de calibración y reloj.","parcialmente resuelta","vigente"
"C-763","Eme y colaboradores estimaron Opisthokonta entre 904 y 1579 Ma.","Opisthokonta","tiene_edad_estimada","904–1579 Ma","expresa","S141 fig. 3 y material suplementario","no evaluado","baja","La edad posterior depende de la topología y calibraciones seleccionadas.","parcialmente resuelta","vigente"
"C-764","En los análisis de Eme y colaboradores, el intervalo entre LECA y Opisthokonta varió entre 23 y 334 Ma.","tallo entre LECA y Opisthokonta","tiene_valor_medido","23–334 Ma","expresa","S141 discusión","no evaluado","media","Es una diferencia entre edades posteriores, no una duración observada en roca.","parcialmente resuelta","vigente"
"C-765","Strassert y colaboradores estimaron la edad de LECA entre 1958 y 2386 Ma.","LECA","tiene_edad_estimada","1958–2386 Ma","expresa","S140 resumen; fig. 2","no evaluado","baja","El intervalo resulta de análisis bayesianos con múltiples modelos y calibraciones.","parcialmente resuelta","vigente"
"C-766","Strassert y colaboradores exploraron más de un modelo de reloj relajado, distribuciones alternativas de calibración y dos posiciones de raíz.","análisis de Strassert et al. 2021","posee_metodo*","modelos y calibraciones alternativos","expresa","S140 métodos; Supplementary Data 1","no evaluado","alta","La sensibilidad metodológica fue analizada explícitamente. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","resuelta","vigente"
"C-767","La corrección publicada para Strassert y colaboradores no fue tratada en esta sesión como una nueva estimación temporal independiente.","corrección de Strassert et al. 2021","clasificado_como_por","corrección del mismo estudio","glosa","n/a","no evaluado","desconocida","No se localizó un cambio de los intervalos centrales en el material recuperado.","información insuficiente","vigente"
"C-768","Betts y colaboradores integraron información genómica y fósil en una escala temporal común para la evolución temprana de la vida.","análisis de Betts et al. 2018","posee_metodo*","integración de datos genómicos y fósiles","expresa","S177 resumen y métodos","no evaluado","alta","El diseño metodológico está descrito explícitamente; sus edades siguen dependiendo de árbol y calibraciones. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","resuelta","vigente"
"C-769","Porter sostuvo que no existen fósiles inequívocos asignables a grupos corona de supergrupos eucariotas antes de aproximadamente 1.05 Ga.","registro fósil de eucariotas corona","tiene_limite_observado*","aproximadamente 1.05 Ga","expresa","S178 §3","no evaluado","baja","La conclusión depende de criterios taxonómicos conservadores y es discutida por relojes y biomarcadores. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","sin resolver","vigente"
"C-770","La posición de un origen tardío de la diversidad eucariota viviente interpreta muchos fósiles paleoproterozoicos y mesoproterozoicos como grupos troncales o de posición indeterminada.","hipótesis de origen tardío de Eukaryota corona","clasificado_como_por","lectura troncal del registro antiguo","expresa","S178 discusión; S179 resumen","no evaluado","baja","Concilia ausencia de fósiles corona inequívocos, pero requiere tasas de divergencia y preservación compatibles.","sin resolver","vigente"
"C-771","Un preprint de 2026 propuso un límite mínimo próximo a 1696 Ma para LECA a partir de dinámica de clados.","LECA","tiene_edad_estimada","mínimo próximo a 1696 Ma","expresa","S181 resumen","no evaluado","desconocida","Es un preprint sin revisión por pares y usa un marco metodológico distinto de los relojes convencionales.","sin resolver","vigente"
"C-772","No existe una estimación de consenso para la edad de LECA.","LECA","tiene_estimacion_de_consenso*","no existe","sintesis(C-760, C-762, C-765)","S139 resultados; S141 fig. 3; S140 fig. 2; S178 discusión","consenso amplio","alta","Los intervalos publicados abarcan más de 1.3 Ga y responden de forma distinta a calibraciones y modelos.","sin resolver","vigente"
"C-773","Las estimaciones recuperadas para LECA en esta parte abarcan desde 1007 Ma hasta 2386 Ma.","LECA","tiene_rango_publicado*","1007–2386 Ma","sintesis(C-762, C-765)","S141 fig. 3; S140 fig. 2","no evaluado","alta","Es el envolvente de estimaciones publicadas, no un intervalo de confianza combinado ni un promedio.","sin resolver","vigente"
"C-774","La antigua amplitud única del envolvente de LECA se retira porque era una resta propia entre extremos de estudios distintos.","antigua amplitud única del envolvente de LECA","retirado_por*","cálculo derivado no publicado","glosa","n/a","no evaluado","alta","Los extremos publicados permanecen asociados a cada estudio; no se fabrica una incertidumbre conjunta.","resuelta","superada"
"C-775","Bangiomorpha pubescens ejerce un peso desproporcionado como calibración porque combina una edad radiométrica relativamente precisa con una posible asignación a Rhodophyta corona.","Bangiomorpha pubescens","posee_rasgo","calibración influyente de relojes eucariotas","expresa","S160 discusión; S141 §calibrations; S140 métodos","no evaluado","baja","Pocas calibraciones proterozoicas combinan edad y diagnóstico taxonómico comparables.","parcialmente resuelta","vigente"
"C-776","Mover el nodo asignado a Bangiomorpha o tratarlo como fósil troncal modifica las restricciones mínimas de divergencias profundas.","calibración de Bangiomorpha","cambia_resultado_de*","estimaciones de divergencia","expresa","S141 §calibration sensitivity; S178 discusión","no evaluado","media","El efecto es una propiedad explícita de la calibración nodal, aunque su magnitud varía por análisis.","parcialmente resuelta","vigente"
"C-777","Una calibración fósil suele aportar un mínimo para la edad de un nodo, no la fecha exacta de la divergencia.","calibración fósil nodal","aporta_limite*","edad mínima","expresa","S141 §Molecular clock methodology","no evaluado","media","La divergencia debe preceder a la aparición del fósil asignado al grupo corona.","resuelta","vigente"
"C-778","Los límites máximos de calibración son más difíciles de justificar porque dependen de ausencia fósil y de modelos de preservación.","límite máximo de calibración","posee_incertidumbre*","mayor dependencia del registro negativo","expresa","S141 §Molecular clock methodology; S177 métodos","consenso amplio","alta","La ausencia de un fósil puede reflejar preservación o muestreo y no ausencia del linaje.","resuelta","vigente"
"C-779","Los relojes estrictos suponen una tasa única, mientras que los relojes relajados permiten variación de tasa entre ramas.","modelo de reloj molecular","distingue*","reloj estricto y reloj relajado","expresa","S142 métodos; S141 §Molecular clocks","consenso amplio","alta","La diferencia está definida matemáticamente en los modelos usados.","resuelta","vigente"
"C-780","Los relojes relajados autocorrelacionados y no autocorrelacionados hacen supuestos incompatibles sobre la dependencia de tasas entre ramas adyacentes.","modelos de reloj relajado","incompatible_con","supuestos alternativos de correlación de tasas","expresa","S141 §Molecular clocks; S140 métodos","no evaluado","media","La estructura probabilística de la tasa difiere explícitamente.","resuelta","vigente"
"C-781","La saturación de sustituciones reduce la información temporal retenida en divergencias proterozoicas profundas.","secuencias moleculares antiguamente divergentes","pierde_rasgo","señal temporal por saturación","expresa","S141 discusión","no evaluado","alta","Sustituciones múltiples en un mismo sitio erosionan la relación entre distancia observada y tiempo.","parcialmente resuelta","vigente"
"C-782","La heterotaquia puede hacer que un mismo sitio cambie de tasa a través del árbol y sesgar estimaciones si el modelo no la representa.","heterotaquia","puede_sesgar*","estimaciones de reloj que no modelan cambios de tasa por sitio","expresa","S141 discusión; S140 métodos","no evaluado","baja","El efecto está demostrado en simulaciones y comparaciones de modelos, pero su magnitud por nodo es incierta.","parcialmente resuelta","vigente"
"C-783","La ausencia de un grupo externo cercano a Eukaryota dificulta simultáneamente la raíz y la datación de divergencias profundas.","árbol eucariota","posee_restriccion*","grupo externo distante","expresa","S141 discusión; S177 métodos","consenso amplio","alta","Las ramas externas largas aumentan error de modelo y limitan calibraciones relativas.","sin resolver","vigente"
"C-784","La propuesta de conciliación entre fósiles jóvenes y relojes antiguos sostiene que buena parte del registro proterozoico temprano pertenece al grupo tronco y no al grupo corona.","desacuerdo entre fósiles y relojes","resuelto_por_propuesta*","distinción tallo–corona","expresa","S171 discusión; S178 §4","no evaluado","baja","La propuesta explica la coexistencia de biomarcadores antiguos y fósiles corona jóvenes, pero depende de asignaciones no directas.","sin resolver","vigente"
"C-785","Fonseca et al. describieron material del Cenomaniano–Turoniano como una ocurrencia putativa de coanoflagelados.","material orgánico de la Formación Capas Blancas","tiene_afinidad_propuesta*","Choanoflagellata putativa","expresa","S500 título; resumen; resultados y discusión","no evaluado","baja","La fila registra únicamente la afinidad propuesta; las limitaciones morfológicas impiden usar el material como calibración nodal segura.","parcialmente resuelta","vigente"
"C-786","Sandin et al. analizaron 75,975 unidades taxonómicas operativas.","muestreo de Sandin et al.","tiene_valor_medido","75,975 OTU","expresa","S548 métodos; conjunto de datos","no evaluado","alta","Se conserva la grafía del recuento publicado sin transformarlo en una medida de especies.","resuelta","vigente"
"C-787","Sandin et al. emplearon 77 calibraciones temporales.","análisis temporal de Sandin et al.","tiene_valor_medido","77 calibraciones","expresa","S548 métodos; calibraciones","no evaluado","alta","Es el recuento de calibraciones declarado por el estudio.","resuelta","vigente"
"C-788","Sandin et al. evaluaron 32 árboles filogenéticos.","análisis filogenético de Sandin et al.","tiene_valor_medido","32 árboles","expresa","S548 métodos; conjunto de árboles","no evaluado","alta","Es el número publicado de árboles analizados, no un recuento reconstruido por el corpus.","resuelta","vigente"
